ID,Lat,Lon,Unit Type,Spring,Line,Waypt Name,Comments,Serial No.,
BUSH1,41.32771,-119.872629,Camera,DVS,Water,Unnamed CAM2,,,
BUSH2,41.327149,-119.872652,Camera,DVS,Water,Unnamed CAM,,,
BUSH3,41.31853997,-119.88376,Camera,BBS,Water,BBSCAM1,,,
CAMPARK1,41.26592,-119.88198,Camera,UIS,Water,UISCAM8,moved 8/10,,
BUSH4,41.26777,-119.88452,Camera,UIS,Upland,,moved 8/10,,
BUSH5,41.26692,-119.88436,Camera,UIS,Water,,moved 8/10,,
BUSH6,41.32761,-119.872133,Camera,DVS,UIF,BIRDG23,moved 8/10,,
BUSH7,41.31839,-119.88404,Camera,BBS,Water,BBS23BUSH2,"Picked up at UIU CAMTRI 41.2698, -119.888",,
CAMPARK3,41.2663,-119.884,Camera,UIS,Water,UISCAM14,,,
P6,41.2676,-119.88576,Camera,UIS,Upland,,,,Campark
P12,41.27814,-119.89719,Camera,UC,Water,UC23CAM1,,,Campark
P5,41.2779,-119.89778,Camera,UC,Water,UC23CAM2,,,Campark
P7,41.277969,-119.899908,Camera,UC,,UC23CAM3,,,Campark
UNR3,41.277907,-119.898622,Camera,UC,,UC23CAM4,,,Campark
,41.32657,-119.871757,Camera,DVS,UIF,DVSCAM9,,,Campark
,41.31808,-119.88528,Camera,BBS,Upland,BBS23CAM3,,,
,41.31842,-119.8856,Camera,BBS,Upland,BBS23CAM4,,,
M,41.27831,-119.89697,SM4,UC,,BIRDM23,,S4A04293,
O,41.31826,-119.88524,SM4,BBS,Upland,BBS23BIRDU,,S4A04282,
J,41.277529,-199.89961,SM4,UC,UIF,BIRDJ23,,S4A04294,
G,41.32761,-119.872133,SM4,DVS,UIF,BIRDG23,,S4A04240,
L,41.26692,-119.88436,SM4,UIS,UOF,,,,
N,41.26711,-119.885,SM4,UIS,UIF,,,,
Unlabelled- S4U02755,41.2669,-119.88348,SM4Bat,UIS,lower water,UISCAM1,,,
C - S4U02686,41.26692,-119.88423,SM4Bat,UIS,upper water,ARU C,,,
D- S4U02768,41.26775,-119.88478,SM4Bat,UIS,upland,ARU D,,,
P,41.31842,-119.88441,SM4Bat,BBS,Water,No waypt,,,
K,41.31838,-119.88523,SM4Bat,BBS,Upland,BBSTRI3,,,
S4U02674,41.326983,-119.872464,SM4Bat,DVS,Water,No waypt,,,
O,41.328011,-119.871976,SM4Bat,DVS,UIF,No waypt,,,
F- S4U02686,41.32788,-119.87493,SM4Bat,DVS,UOF,No waypt,,,
M,41.27764,-119.89805,SM4Bat,UC,Water,BATM23,,S4U13333,
J,41.27798,-119.89753,SM4Bat,UC,Water,BatJ23,,S4U12365,
G,41.27764,-119.89721,SM4Bat,UC,UOF,,,S4U02726,
SMU06310,41.31848,-119.8837,Song Mini Bat,BBS,Water,BBSCAM1,,,
SMA07154,41.26575,-119.88209,Song Mini Bird,UIS,Water,UISCAM2,,,
SMA07115,41.327705,-119.872652,Song Mini Bird,DVS,Water,Unnamed CAM2,,,
