"","Spring","Line.Folder","Line","FolderName","Subfolder","CamID","First.Photo.Date","First.Snow","When.does.snow.melt.","What.date.is.maximum.snow.depth","Does.snow.return..when.","When.is.date.of.final.snow.","What.is.date.of.last.photo.","check.unID.","species","Detection.Dates","Taxa","Date"
"1","DVS","UIF","UIF","DivineSpringsUpperFence","100MEDIA",1,2022-05-04,"5/4/22","Between 5/24/22 and 6/3","5/4/22","No","5/24/22",2022-08-05,NA,"Cows","6/4/22","Mammals",2022-06-04
"2","DVS","UIF","UIF","DivineSpringsUpperFence","100MEDIA",1,2022-05-04,"5/4/22","Between 5/24/22 and 6/3","5/4/22","No","5/24/22",2022-08-05,NA,"Cows"," 6/6/22","Mammals",2022-06-06
"3","DVS","UIF","UIF","DivineSpringsUpperFence","100MEDIA",1,2022-05-04,"5/4/22","Between 5/24/22 and 6/3","5/4/22","No","5/24/22",2022-08-05,NA,"Cows"," 7/14/22","Mammals",2022-07-14
"4","MH","103","Upland","UNR3","103MEDIA",2,2022-07-06,NA,NA,NA,NA,NA,2022-07-11,NA,"Cows","7/11/22","Mammals",2022-07-11
"5","MH",NA,"Upland","UNR2","100MEDIA",3,2022-06-05,NA,NA,NA,NA,NA,2022-08-06,NA,"Cows","7/11/22","Mammals",2022-07-11
"6","MH",NA,"Upland","UNR2","100MEDIA",3,2022-06-05,NA,NA,NA,NA,NA,2022-08-06,NA,"Cows"," 7/13/22","Mammals",2022-07-13
"7","MH",NA,"Upland","UNR2","100MEDIA",3,2022-06-05,NA,NA,NA,NA,NA,2022-08-06,NA,"Cows"," 7/24/22","Mammals",2022-07-24
"8","MH",NA,"Upland","UNR2","100MEDIA",3,2022-06-05,NA,NA,NA,NA,NA,2022-08-06,NA,"Cows"," 7/25/22","Mammals",2022-07-25
"9","MH",NA,"Upland","P7","100MEDIA",4,2022-06-05,NA,NA,NA,NA,NA,2022-08-06,NA,"Cows","7/11/22","Mammals",2022-07-11
"10","MH",NA,"Upland","P7","100MEDIA",4,2022-06-05,NA,NA,NA,NA,NA,2022-08-06,NA,"Cows"," 7/16/22","Mammals",2022-07-16
"11","MH",NA,"Upland","P7","100MEDIA",4,2022-06-05,NA,NA,NA,NA,NA,2022-08-06,NA,"Cows"," 7/24/22","Mammals",2022-07-24
"12","UIS","100","Spring","P6","100MEDIA",5,2022-06-05,NA,NA,NA,NA,NA,2022-06-14,NA,"Cows","6/8/22","Mammals",2022-06-08
"13","UIS","100","Spring","P6","100MEDIA",5,2022-06-05,NA,NA,NA,NA,NA,2022-06-14,NA,"Cows"," 6/10/22","Mammals",2022-06-10
"14","UIS","101","Spring","P6","101MEDIA",5,2022-06-14,NA,NA,NA,NA,NA,2022-06-26,NA,"Cows","6/23/22","Mammals",2022-06-23
"15","BBS","100","Upland","P5","100MEDIA",6,2022-05-04,"5/4/22",NA,NA,NA,NA,2022-06-26,NA,"Cows","6/17/22","Mammals",2022-06-17
"16","BBS","100","Upland","P5","100MEDIA",6,2022-05-04,"5/4/22",NA,NA,NA,NA,2022-06-26,NA,"Cows"," 6/21/22","Mammals",2022-06-21
"17","BBS","100","Upland","P5","100MEDIA",6,2022-05-04,"5/4/22",NA,NA,NA,NA,2022-06-26,NA,"Cows"," 6/23/22","Mammals",2022-06-23
"18","BBS","100","Upland","P5","100MEDIA",6,2022-05-04,"5/4/22",NA,NA,NA,NA,2022-06-26,NA,"Cows"," 6/24/22","Mammals",2022-06-24
"19","BBS","100","Upland","P5","100MEDIA",6,2022-05-04,"5/4/22",NA,NA,NA,NA,2022-06-26,NA,"Cows"," 6/25/22","Mammals",2022-06-25
"20","BBS","104","Upland","P5","104MEDIA",6,2022-06-28,NA,NA,NA,NA,NA,2022-08-07,NA,"Cows","7/17/22","Mammals",2022-07-17
"21","BBS","104","Upland","P5","104MEDIA",6,2022-06-28,NA,NA,NA,NA,NA,2022-08-07,NA,"Cows"," 7/23/22","Mammals",2022-07-23
"22","BBS","104","Upland","P5","104MEDIA",6,2022-06-28,NA,NA,NA,NA,NA,2022-08-07,NA,"Cows"," 7/25/22","Mammals",2022-07-25
"23","BBS","104","Upland","P5","104MEDIA",6,2022-06-28,NA,NA,NA,NA,NA,2022-08-07,NA,"Cows"," 8/5/22","Mammals",2022-08-05
"24","BBS","102","Upland","P4","102MEDIA",7,2022-06-15,NA,NA,NA,NA,NA,2022-06-21,NA,"Cows","6/17/22","Mammals",2022-06-17
"25","BBS","102","Upland","P4","102MEDIA",7,2022-06-15,NA,NA,NA,NA,NA,2022-06-21,NA,"Cows"," 6/18/22","Mammals",2022-06-18
"26","BBS","103","Upland","P4","103MEDIA",7,2022-06-21,NA,NA,NA,NA,NA,2022-07-14,NA,"Cows","6/21/22","Mammals",2022-06-21
"27","BBS","103","Upland","P4","103MEDIA",7,2022-06-21,NA,NA,NA,NA,NA,2022-07-14,NA,"Cows"," 6/22/22","Mammals",2022-06-22
"28","BBS","104","Upland","P4","104MEDIA",7,2022-07-15,NA,NA,NA,NA,NA,2022-08-07,NA,"Cows","7/15/22","Mammals",2022-07-15
"29","BBS","104","Upland","P4","104MEDIA",7,2022-07-15,NA,NA,NA,NA,NA,2022-08-07,NA,"Cows"," 7/24/22","Mammals",2022-07-24
"30","BBS","104","Upland","P4","104MEDIA",7,2022-07-15,NA,NA,NA,NA,NA,2022-08-07,NA,"Cows"," 7/25/22","Mammals",2022-07-25
"31","BBS","104","Upland","P4","104MEDIA",7,2022-07-15,NA,NA,NA,NA,NA,2022-08-07,NA,"Cows"," 7/28/22","Mammals",2022-07-28
"32","BBS","104","Upland","P4","104MEDIA",7,2022-07-15,NA,NA,NA,NA,NA,2022-08-07,NA,"Cows"," 7/30/22","Mammals",2022-07-30
"33","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows","6/9/22","Mammals",2022-06-09
"34","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows"," 6/10/22","Mammals",2022-06-10
"35","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows"," 6/11/22","Mammals",2022-06-11
"36","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows"," 6/17/22","Mammals",2022-06-17
"37","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows"," 6/21/22","Mammals",2022-06-21
"38","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows"," 6/22/22","Mammals",2022-06-22
"39","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows"," 7/22/22","Mammals",2022-07-22
"40","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows"," 7/24/22","Mammals",2022-07-24
"41","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows"," 7/25/22","Mammals",2022-07-25
"42","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows"," 7/26/22","Mammals",2022-07-26
"43","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows"," 7/28/22","Mammals",2022-07-28
"44","UIS","100","Spring","P3","100MEDIA",8,2022-06-05,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows"," 7/29/22","Mammals",2022-07-29
"45","UIS","101","Spring","P3","101MEDIA",8,2022-07-29,NA,NA,NA,NA,NA,2022-07-29,NA,"Cows","7/29/22","Mammals",2022-07-29
