"","ID","lat","lon","ele","time","magvar","geoidheight","name","cmt","desc","src","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","Proximity","Temperature","Depth","DisplayMode","Samples","Expiration","CreationTime"
"1",1,41.31853997,-119.88376,2022.906616,"2022-05-05T00:38:53Z",NA,NA,"BBSCAM1",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-05T00:38:53Z"
"2",2,41.31738997,-119.88494,2120.510742,"2022-05-05T01:41:04Z",NA,NA,"BBSCAM3",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-05T01:41:04Z"
"3",3,41.31738997,-119.88554,2146.507324,"2022-05-05T02:01:04Z",NA,NA,"BBSCAM4",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-05T02:01:04Z"
"4",4,41.31921999,-119.88632,2137.282715,"2022-05-05T02:42:11Z",NA,NA,"BBSCAM5",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-05T02:42:11Z"
"5",5,41.31645002,-119.88392,2152.016113,"2022-05-05T02:19:39Z",NA,NA,"BBSCAM6",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-05T02:19:39Z"
"6",6,41.31858498,-119.883693,2099.37915,"2022-05-06T22:50:41Z",NA,NA,"BBSTRI1",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-06T22:50:41Z"
"7",7,41.31827502,-119.884122,2118.820557,"2022-05-06T22:56:21Z",NA,NA,"BBSTRI2",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-06T22:56:21Z"
"8",8,41.31825096,-119.885383,2128.192139,"2022-05-06T23:11:55Z",NA,NA,"BBSTRI3",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-06T23:11:55Z"
"9",9,41.32821998,-119.87559,NA,"2022-05-04T17:31:45Z",NA,NA,"DVSCAM1",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-04T17:31:45Z"
"10",10,41.32571002,-119.87165,1988.605835,"2022-05-04T18:01:47Z",NA,NA,"DVSCAM10",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-04T18:01:47Z"
"11",11,41.32875801,-119.873231,1988.355713,"2022-05-06T20:54:53Z",NA,NA,"DVSCAM11",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-06T20:54:53Z"
"12",12,41.32584798,-119.874994,2029.905518,"2022-08-06T02:18:39Z",NA,NA,"DVSCAM3",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-08-06T02:18:39Z"
"13",13,41.32624503,-119.872153,1998.658081,"2022-05-04T20:01:29Z",NA,NA,"DVSCAM5",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-04T20:01:29Z"
