Date,Observers,Region,Spring,Line,Check#,TrapType,Time,Species,Sex,Breeding,Bag Weight,Weight,Tail,Ear,Hindfoot,Mark,Recap,RecapColor,ParasiteType,TissueType,TissueID,NOTES
6/27/2022,"JT,KB,KS,ML",Spring,BBS,Water,1,MS,6:45,Peromyscus maniculatus,F,NB,14,33,81,16,18,Pink,N,,N,,,
6/27/2022,"JT,KB,KS,ML",Spring,BBS,Water,1,MS,6:47,Peromyscus maniculatus,F,L,13,36,71,14,20,Pink,N,,N,,,
6/27/2022,"JT,KB,KS,ML",Spring,BBS,Water,1,MS,6:55,Peromyscus maniculatus,M,S,13,33,72,16,21,Pink,N,,N,,,
6/27/2022,"JT,KB,KS,ML",Spring,BBS,Water,1,MS,6:58,Peromyscus maniculatus,M,S,12,31,64,18,19,Pink,N,,N,,,
6/27/2022,"JT,KB,KS,ML",Spring,BBS,Upland,1,MS,7:23,Peromyscus maniculatus,F,NB,15,34,78,16,20,LG,N,,N,,,
6/27/2022,"JT,KB,KS,ML",Spring,BBS,Upland,1,PS,7:29,Peromyscus maniculatus,F,P,10,28,63,17,19,LG,N,,N,,,
6/27/2022,"JT,KB,KS,ML",Spring,DVS,Upland,1,MS,8:25,Peromyscus maniculatus,M,NB,14,30,57,14,18,LG,N,,N,,,
6/27/2022,"JT,KB,KS,ML",Spring,DVS,Upland,1,PS,8:31,Peromyscus maniculatus,M,NB,10,34,72,18,20,LG,N,,fleas,,,
6/27/2022,"JT,KB,KS,ML",Spring,DVS,Upland,1,PS,8:39,Tamias spp.,M,NB,10,42,72,,28,LG,N,,NA,,,
6/27/2022,"JT,KB,KS,ML",Spring,DVS,Water,1,MS,8:53,Peromyscus maniculatus,F,NB,14,32,72,17,20,Pink,N,,N,,,
6/27/2022,"JT,KB,KS,ML",Spring,DVS,Water,1,SS,9:01,Microtus montanus,M,NB,15,60,43,14,22,Pink,N,,N,,,
6/27/2022,"JT,KB,KS,ML",Spring,DVS,Sage,1,MS,9:12,Peromyscus maniculatus,F,P,21,47,80,18,21,Blue,N,,N,,,
6/27/2022,"JT,KB,KS,ML",Spring,DVS,Sage,1,MS,9:14,Peromyscus maniculatus,M,NB,15,36,72,18,21,Blue,N,,NA,,,
6/27/2022,"JT,KB,KS,ML",Spring,DVS,Sage,1,PS,9:17,Microtus montanus,M,NB,15,48,48,16,18,Blue,N,,N,,,Lump in tail
6/27/2022,"JT,KB,KS,ML",Spring,DVS,Sage,1,MS,9:24,Tamias minimus,F,L,10,43,75,12,25,Blue,N,,fleas,,,
6/27/2022,"JT,KB,KS,ML",Spring,DVS,Water,1.5?,MS,20:58,Peromyscus maniculatus,F,L,10,31,17,60,21,Blue,N,,NA,,,Trap left open?
6/28/2022,"JT,KB",Spring,DVS,Sage,2,MS,9:18,Peromyscus maniculatus,M,S,10,29,63,15,19,Black,N,,N,,,
6/28/2022,"JT,KB",Spring,DVS,Sage,2,PS,9:20,Tamias minimus,F,NB,10,41,77,13,25,Black,Y,Blue,tick and flea,,,
6/28/2022,"JT,KB",Spring,DVS,Sage,2,MS,9:23,Peromyscus maniculatus,F,P,13,35,75,17,20,Black,N,,N,,,
6/28/2022,"JT,KB",Spring,DVS,Sage,2,PS,9:26,Tamias minimus,F,L,9,49,90,13,28,Black,N,,fleas,,,
6/28/2022,"JT,KB",Spring,DVS,Sage,2,TS,9:28,Peromyscus maniculatus,M,S,10,28,72,19,20,Black,Y,Blue,fleas,,,
6/28/2022,"JT,KB",Spring,DVS,Sage,2,MS,9:32,Peromyscus maniculatus,M,NB,17,36,69,13,18,Black,N,,N,,,
6/28/2022,"JT,KB",Spring,DVS,Water,2,PS,9:35,Peromyscus maniculatus,F,L,16,34,70,16,20,Black,Y,Pink,N,,,
6/28/2022,"JT,KB",Spring,DVS,Water,2,PS,9:37,Peromyscus maniculatus,,,14,38,,,,,,,NA,,,
6/28/2022,"JT,KB",Spring,BBS,Water,2,MS,6:43,Peromyscus maniculatus,M,NB ,16,33,66,17,19,Black,Y,Pink,N,,,
6/28/2022,"JT,KB",Spring,BBS,Water,2,PS,6:51,Peromyscus maniculatus,F,P,19,42,67,16,20,Black,N,,N,,,
6/28/2022,"JT,KB",Spring,BBS,Water,2,MS,6:57,Peromyscus maniculatus,F,P,18,41,69,16,21,Black,Y,Pink,Botfly,,,
6/28/2022,"JT,KB",Spring,BBS,Water,2,MS,6:59,Peromyscus maniculatus,F,NB ,16,33,75,16,20,Black,Y,Pink,N,,,
6/28/2022,"JT,KB",Spring,BBS,Water,2,MS,7:03,Peromyscus maniculatus,M,NB ,18,37,72,15,20,Black,Y,Pink,N,,,
6/28/2022,"JT,KB",Spring,BBS,Upland,2,PS,7:28,Peromyscus maniculatus,,,12,32,,,,,Y,Pink,NA,,,
6/28/2022,"JT,KB",Spring,BBS,Upland,2,MS,7:32,Tamias spp.,F,L,16,66,87,13,29,Orange,N,,N,,,
6/28/2022,"JT,KB",Spring,BBS,Upland,2,PS,7:37,Peromyscus maniculatus,F,P,19,43,62,16,18,Orange,N,,fleas,,,
6/28/2022,"JT,KB",Spring,BBS,Upland,2,PS,7:41,Peromyscus maniculatus,M,NB,12,31,69,17,21,Red,N,,N,,,
6/28/2022,"JT,KB",Spring,DVS,Out,2,MS,8:38,Peromyscus maniculatus,F,NB,14,30,56,13,18,Red,Y,LG,N,,,
6/28/2022,"JT,KB",Spring,DVS,Out,2,MS,8:40,Peromyscus maniculatus,M,S,13,31,71,16,20,Red,N,,fleas,,,
6/28/2022,"JT,KB",Spring,DVS,Out,2,PS,8:41,Tamias spp.,F,NB,10,46,88,13,30,Red,N,,N,,,
6/28/2022,"JT,KB",Spring,DVS,Out,2,MS,8:42,Peromyscus maniculatus,F,L,20,39,62,16,20,Red,N,,fleas,,,
6/28/2022,"JT,KB",Spring,DVS,Out,2,PS,8:44,Tamias minimus,M,NB,9,39,75,14,28,Red,N,,N,,,
6/29/2022,"JT, KB",Spring,BBS,Upland,4,MS,14:43,Tamias minimus,F,P,10,57,,,,,Y,Pink,NA,,,
6/29/2022,"JT, KB",Spring,BBS,Upland,4,MS,14:46,Tamias minimus,M,S,10,52,90,14,29,,N,,fleas,,,
6/29/2022,"JT, KB",Spring,BBS,Upland,4,MS,14:48,Peromyscus maniculatus,F,P,15,31,,,,,Y,"Pink, Green, Green foot",NA,,,
6/29/2022,"JT, KB",Spring,BBS,Upland,4,MS,14:50,Tamias spp.,F,P,0,59,82,16,30,,N,,fleas,Mortality,June29_22_BB_Upland_1,
6/29/2022,"JT, KB",Spring,DVS,Upland,4,PS,13:36,Tamias spp.,F,L,,,,,,,N,,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,4,MS,13:37,Tamias minimus,F,NB,10,39,71,13,27,,N,,N,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,4,PS,13:39,Tamias spp.,F,L,10,44,,,,,Y,Red,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,4,MS,13:39,Tamias spp.,M,NB,9,37,,,,,Y,Red,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,4,MS,13:41,Tamias minimus,M,S,8,42,79,12,28,,N,,fleas,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,4,MS,13:42,Tamias minimus,M,S,12,44,83,13,28,,N,,fleas,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,4,PS,13:44,Tamias minimus,M,S,9,39,78,14,26,,N,,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,4,PS,13:49,Tamias minimus,F,L,9,40,,,,,Y,Black,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,4,MS,13:50,Tamias minimus,M,S,9,46,86,14,28,,N,,N,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,4,MS,13:52,Tamias spp.,F,NB,9,44,86,,27,,N,,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,4,PS,13:54,Tamias minimus,F,NB,9,41,73,14,28,,N,,N,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,4,PS,13:56,Tamias minimus,F,NB,14,48,,,,,Y,Green foot,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,4,MS,13:57,Tamias minimus,F,NB,9,42,,,,,Y,Green foot,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Water,4,SS,13:59,Lemmiscus curtatus,M,S,9,24,31,9,16,,N,,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Water,4,SS,14:03,Peromyscus maniculatus,M,S,10,27,66,15,19,,N,,N,,,
6/29/2022,"JT, KB",Spring,BBS,Water,4,MS,14:22,Tamias spp.,M,S,12,50,87,16,32,,N,,N,,,Didn't see tail go up
6/29/2022,"JT, KB",Spring,DVS,Sage,3,PS,8:20,Tamias minimus,F,NB,10,43,77,13,27,Green foot,N,,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,3,SS,8:31,Tamias spp.,F,NB,,18,63,15,29,,N,,NA,Mortality,June29_22_DVS_Sage_1,Didn't see tail?
6/29/2022,"JT, KB",Spring,DVS,Water,3,SS,8:24,Peromyscus maniculatus,F,P,13,30,,,,Green foot,Y,Pink,N,,,
6/29/2022,"JT, KB",Spring,DVS,Water,3,PS,8:25,Peromyscus maniculatus,F,P,15,38,,,,Green foot,Y,Blue,N,,,
6/29/2022,"JT, KB",Spring,DVS,Water,3,SS,8:26,Peromyscus maniculatus,M,S,13,33,63,14,21,Green foot,N,,fleas,,,
6/29/2022,"JT, KB",Spring,DVS,Water,3,MS,8:27,Tamias minimus,F,NB,8,41,78,14,29,Green foot,N,,N,,,depressed
6/29/2022,"JT, KB",Spring,DVS,Water,3,PS,8:30,Peromyscus maniculatus,M,NB,18,33,71,16,20,Green foot,N,,N,,,
6/29/2022,"JT, KB",Spring,BBS,Water,3,MS,8:55,Peromyscus maniculatus,,,12,29,,,,,,,NA,,,
6/29/2022,"JT, KB",Spring,BBS,Water,3,MS,8:56,Peromyscus maniculatus,M,S,22,41,,,,Green foot,Y,Orange,NA,,,
6/29/2022,"JT, KB",Spring,BBS,Water,3,MS,9:01,Peromyscus maniculatus,M,NB,12,29,,,,Green foot,Y,Pink,NA,,,
6/29/2022,"JT, KB",Spring,BBS,Water,3,PS,9:03,Peromyscus maniculatus,F,NB,16,32,,,,Green foot,Y,Pink,NA,,,
6/29/2022,"JT, KB",Spring,BBS,Water,3,MS,9:06,Peromyscus maniculatus,F,P,19,46,69,16,20,Green foot,N,,fleas,,,"Picture taken- white on face. see pics, not totally sure what it is"
6/29/2022,"JT, KB",Spring,BBS,Upland,3,PS,9:25,Peromyscus maniculatus,M,NB,12,33,,,,Green foot,Y,Pink,N,,,
6/29/2022,"JT, KB",Spring,BBS,Upland,3,MS,9:26,Peromyscus maniculatus,F,P,14,33,,,,Green foot,Y,Green,fleas,,,
6/29/2022,"JT, KB",Spring,BBS,Upland,3,PS,9:28,Peromyscus maniculatus,F,P,17,33,,,,Green foot,Y,"Pink,Green",N,,,
6/29/2022,"JT, KB",Spring,BBS,Upland,3,MS,9:30,Tamias spp.,F,L,9,57,89,16,30,Green foot,N,,fleas,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,3,MS,7:25,Peromyscus maniculatus,F,,12,25,,,,Black foot,Y,"Red,Pink",NA,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,3,MS,7:28,Peromyscus maniculatus,M,NB,8,32,56,15,18,Black foot,N,,fleas,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,3,MS,7:31,Peromyscus maniculatus,F,P,13,38,57,16,19,Black foot,N,,N,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,3,PS,7:34,Tamias minimus,F,NB,13,40,77,12,25,Black,N,,fleas,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,3,PS,7:36,Tamias minimus,F,NB,10,41,86,13,27,Black foot,N,,tick,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,3,PS,7:38,Peromyscus maniculatus,M,NB,11,31,,,,Black foot,Y,"Red,Pink",N,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,3,PS,7:40,Peromyscus maniculatus,F,P,13,36,60,15,20,Black foot,N,,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Upland,3,MS,7:42,Peromyscus maniculatus,M,NB,12,35,65,17,19,Black foot,N,,N,,,Bite out of right ear
6/29/2022,"JT, KB",Spring,DVS,Upland,3,MS,7:44,Peromyscus maniculatus,F,P,20,40,,,,Black foot,Y,"Red,Pink",NA,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,3,TS,7:49,Tamias spp.,F,NB,13,44,79,15,26,Black,N,,fleas,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,3,TS,7:52,Peromyscus maniculatus,F,J,12,23,59,16,19,Black foot,N,,N,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,3,MS,7:56,Peromyscus maniculatus,M,S,11,30,71,15,19,Black foot,N,,N,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,3,PS,8:01,Dipodomys californicus,F,L,10,91,190,15,46,,N,,N,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,3,MS,8:15,Peromyscus maniculatus,M,S,18,36,,,,Black foot,Y,Blue,NA,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,3,PS,8:16,Peromyscus maniculatus,M,S,22,40,62,13,18,Black foot,N,,fleas,,,
6/29/2022,"JT, KB",Spring,DVS,Sage,3,PS,8:18,Peromyscus maniculatus,F,P,27,49,,,,Black foot,Y,Black,NA,,,
7/1/2022,"JT, KB",Spring,UIS,Water,1,PS,8:39,Peromyscus maniculatus,,J,15,26,,,,,N,,NA,,,
7/1/2022,"JT, KB",Spring,UIS,Water,1,MS,8:40,Peromyscus maniculatus,M,,22,49,,,,,N,,NA,,,
7/1/2022,"JT, KB",Spring,UIS,Sage,1,MS,8:41,Peromyscus maniculatus,M,NB,13,30,70,13,20,LG,N,,N,,,
6/8/2023,"EW,DM,KVC",Spring,DVS,UIF,1,MS,8:18,Tamius minimus,F,L,10,45,82,13,29,Pink,N,,None,,,
6/8/2023,"EW,DM,KVC",Spring,DVS,UOF,1,PS,8:53,Peromyscus maniculatus,F,P,11,37,70,17,19,Pink,N,,None,,,
6/8/2023,"EW,DM,KVC",Spring,DVS,UOF,1,TS,8:58,Tamius minimus,F,L,16,51,82,14,26,Pink,N,,None,,,
6/8/2023,"EW, KVC",Spring,DVS,Water,2,LS,20:41,Tamius minimus,M,NB,6,53,95,11,26,Blue,N,,None,,,
6/8/2023,"EW, KVC",Spring,DVS,UIF,2,PS,21:10,Tamius minimus,F,P,8,44,83,12,28,Blue,N,,None,,,
6/8/2023,"EW, KVC",Spring,DVS,UOF,2,,,Tamius minimus,M,NB,9,39,85,9,30,Blue,N,,None,,,
6/8/2023,"EW, KVC",Spring,DVS,UOF,2,,,Tamius minimus,,,,,,,,,Y,Pink,,,,
6/8/2023,"EW, KVC",Spring,DVS,UOF,2,,,Tamius minimus,M,NB,14,49,88,13,29,Blue,N,,None,,,
6/9/2023,"EW, KVC",Spring,BBS,Water East,1,LS,9:04,Peromyscus maniculatus,M,NB,,,65,12,18,Purple,N,,"Ticks, Mites",,,
6/9/2023,"EW, KVC",Spring,BBS,Water U-Line,1,LS,9:15,Peromyscus maniculatus,F,L,18,56,78,18,20,Purple,N,,Fleas,,,
6/9/2023,"EW, KVC",Spring,DVS,UIF,3,PS,10:52,Tamius minimus,,,,,,,,,Y,Blue,,,,
6/9/2023,"EW, KVC",Spring,DVS,UOF,3,LS,10:30,Peromyscus maniculatus,,,,,,,,,Y,Pink,,,,
6/9/2023,"EW, KVC",Spring,DVS,UOF,3,PS,10:36,Tamius minimus,,,,,,,,,Y,Blue,,,,
6/9/2023,"EW,KVC",Spring,BBS,Upland,2,PS,18:41,Tamius minimus,M,S,9,53,79,20,28,Green,N,,None,,,
6/9/2023,"EW, KVC",Spring,DVS,UOF,4,PS,19:44,Tamius minimus,,,25,57,,,,,N,,,,,Escaped
6/9/2023,"EW, KVC",Spring,DVS,UOF,4,LS,19:51,Tamius minimus,,,,,,,,,Y,Blue,,,,
6/9/2023,"EW, KVC",Spring,DVS,UOF,4,LS,19:55,Tamius minimus,,,,,,,,,Y,Blue,,,,
6/9/2023,"EW, KVC",Spring,DVS,UOF,4,LS,19:57,Tamias spp.,,,,,,,,,Y,Pink,,,,
6/9/2023,"EW, KVC",Spring,DVS,UIF,4,LS,20:14,Tamias spp.,F,NB,9,52,70,10,30,,Y,Green,,,,
6/9/2023,"EW, KVC",Spring,DVS,UIF,4,PS,20:23,Tamias spp.,,,,,,,,,Y,Blue,,,,
6/10/2023,"EW, KVC",Spring,BBS,Upland,3,LS,8:26,Tamius minimus,M,S,8,54,75,14,26,Black,N,,None,,,
6/10/2023,"EW, KVC",Spring,BBS,Water East,3,LS,8:40,Tamius minimus,,,,,,,,,Y,Green,,,,
6/10/2023,"EW, KVC",Spring,BBS,Water U-Line,3,LS,8:48,Peromyscus maniculatus,,,,,,,,,Y,Purple,Fleas,,,
6/10/2023,"EW, KVC",Spring,DVS,UOF,5,SS,9:41,Tamias spp.,F,NB,11,49,76,9,25,Black,N,,None,,,
6/10/2023,"EW, KVC",Spring,DVS,UOF,5,LS,9:46,Peromyscus maniculatus,,,,42,,,,,Y,Pink,,,,
6/10/2023,"EW, KVC",Spring,DVS,UOF,5,LS,9:51,Tamias spp.,,,,,,,,,Y,Blue,,,,
6/10/2023,"EW, KVC",Spring,DVS,UOF,5,LS,9:53,Tamias spp.,M,NB,9,46,77,11,30,Black,N,,None,,,
6/10/2023,"EW, KVC",Spring,DVS,UOF,5,SS,9:59,Tamias spp.,F,NB,10,44,75,10,29,Black,N,,None,,,
6/10/2023,"EW, KVC",Spring,DVS,UIF,5,MS,10:29,Tamias spp.,,,,,,,,,Y,Blue,,,,
6/10/2023,"EW, KVC",Spring,DVS,UIF,5,LS,10:49,Peromyscus maniculatus,F,NB,5,26,54,18,20,None,N,,None,,,
6/10/2023,"EW,KVC",Spring,DVS,UIF,5,LS,10:56,Peromyscus maniculatus,F,L,10,33,61,20,19,None,N,,None,,,
6/10/2023,"EW, KVC",Spring,BBS,Upland,4,,20:42,Tamias spp.,M,S,10,50,76,10,29,Red,N,,None,,,
6/10/2023,"EW, KVC",Spring,BBS,Upland,4,,20:47,Tamias spp.,M,S,,53,84,14,28,Red,N,,None,,,
6/10/2023,"EW, KVC",Spring,BBS,Upland,4,,20:57,Tamias spp.,,,,,,,,,Y,Green,,,,
